[-1.135, 2.327, 0.187, 0.   ]
[-1.19 , 2.335, 0.187, 0.   ]
[-1.244, 2.34 , 0.187, 0.   ]
[-1.295, 2.336, 0.187, 0.   ]
[-1.353, 2.344, 0.187, 0.   ]
[-1.408, 2.343, 0.187, 0.   ]
[-1.464, 2.344, 0.187, 0.   ]
[-1.513, 2.329, 0.187, 0.   ]
[-1.583, 2.347, 0.187, 0.   ]
[-1.634, 2.333, 0.187, 0.   ]
[-1.69 , 2.325, 0.187, 0.   ]
[-1.679, 2.227, 0.187, 0.   ]
[-1.699, 2.174, 0.187, 0.   ]
[-1.685, 2.081, 0.187, 0.   ]
[-1.689, 2.013, 0.187, 0.   ]
[-1.69 , 1.944, 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.518, 0.324, 0.187, 0.   ]
[-0.496, 0.298, 0.187, 0.   ]
[-0.499, 0.288, 0.187, 0.   ]
[-0.492, 0.273, 0.187, 0.   ]
[-0.497, 0.264, 0.187, 0.   ]
[-0.463, 0.236, 0.187, 0.   ]
[-0.47 , 0.229, 0.187, 0.   ]
[-0.468, 0.218, 0.187, 0.   ]
[-0.455, 0.202, 0.187, 0.   ]
[-0.467, 0.198, 0.187, 0.   ]
[-0.453, 0.183, 0.187, 0.   ]
[-0.473, 0.182, 0.187, 0.   ]
[-0.461, 0.168, 0.187, 0.   ]
[-0.454, 0.156, 0.187, 0.   ]
[-0.469, 0.152, 0.187, 0.   ]
[-0.477, 0.146, 0.187, 0.   ]
[-0.481, 0.138, 0.187, 0.   ]
[-0.46 , 0.123, 0.187, 0.   ]
[-0.466, 0.116, 0.187, 0.   ]
[-0.461, 0.106, 0.187, 0.   ]
[-0.467, 0.099, 0.187, 0.   ]
[-0.477, 0.093, 0.187, 0.   ]
[-0.469, 0.083, 0.187, 0.   ]
[-0.492, 0.078, 0.187, 0.   ]
[-0.481, 0.068, 0.187, 0.   ]
[-0.486, 0.06 , 0.187, 0.   ]
[-0.495, 0.052, 0.187, 0.   ]
[-0.519, 0.045, 0.187, 0.   ]
[-0.476, 0.033, 0.187, 0.   ]
[-0.498, 0.026, 0.187, 0.   ]
[-0.508, 0.018, 0.187, 0.   ]
[-0.523, 0.009, 0.187, 0.   ]
[-0.529, 0.   , 0.187, 0.   ]
[-0.537,-0.009, 0.187, 0.   ]
[-0.565,-0.02 , 0.187, 0.   ]
[-0.583,-0.031, 0.187, 0.   ]
[-0.58 ,-0.041, 0.187, 0.   ]
[-0.623,-0.055, 0.187, 0.   ]
[-0.924,-0.097, 0.187, 0.   ]
[-0.889,-0.109, 0.187, 0.   ]
[-0.88 ,-0.124, 0.187, 0.   ]
[-0.873,-0.138, 0.187, 0.   ]
[-0.871,-0.154, 0.187, 0.   ]
[-0.88 ,-0.171, 0.187, 0.   ]
[-0.866,-0.184, 0.187, 0.   ]
[-0.849,-0.196, 0.187, 0.   ]
[-0.859,-0.214, 0.187, 0.   ]
