[-1.087, 2.332, 0.187, 0.   ]
[-1.144, 2.346, 0.187, 0.   ]
[-1.197, 2.349, 0.187, 0.   ]
[-1.241, 2.333, 0.187, 0.   ]
[-1.295, 2.336, 0.187, 0.   ]
[-1.35 , 2.338, 0.187, 0.   ]
[-1.4  , 2.33 , 0.187, 0.   ]
[-1.467, 2.348, 0.187, 0.   ]
[-1.52 , 2.34 , 0.187, 0.   ]
[-1.574, 2.333, 0.187, 0.   ]
[-1.639, 2.341, 0.187, 0.   ]
[-1.693, 2.33 , 0.187, 0.   ]
[-1.687, 2.239, 0.187, 0.   ]
[-1.692, 2.166, 0.187, 0.   ]
[-1.679, 2.074, 0.187, 0.   ]
[-1.688, 2.012, 0.187, 0.   ]
[-1.689, 1.943, 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.   , 0.   , 0.187, 0.   ]
[-0.509, 0.318, 0.187, 0.   ]
[-0.506, 0.304, 0.187, 0.   ]
[-0.496, 0.287, 0.187, 0.   ]
[-0.458, 0.254, 0.187, 0.   ]
[-0.47 , 0.25 , 0.187, 0.   ]
[-0.47 , 0.24 , 0.187, 0.   ]
[-0.458, 0.223, 0.187, 0.   ]
[-0.464, 0.217, 0.187, 0.   ]
[-0.475, 0.211, 0.187, 0.   ]
[-0.459, 0.195, 0.187, 0.   ]
[-0.468, 0.189, 0.187, 0.   ]
[-0.474, 0.182, 0.187, 0.   ]
[-0.458, 0.167, 0.187, 0.   ]
[-0.466, 0.161, 0.187, 0.   ]
[-0.468, 0.152, 0.187, 0.   ]
[-0.477, 0.146, 0.187, 0.   ]
[-0.455, 0.13 , 0.187, 0.   ]
[-0.468, 0.125, 0.187, 0.   ]
[-0.473, 0.118, 0.187, 0.   ]
[-0.482, 0.111, 0.187, 0.   ]
[-0.45 , 0.096, 0.187, 0.   ]
[-0.485, 0.094, 0.187, 0.   ]
[-0.493, 0.087, 0.187, 0.   ]
[-0.481, 0.076, 0.187, 0.   ]
[-0.476, 0.067, 0.187, 0.   ]
[-0.465, 0.057, 0.187, 0.   ]
[-0.504, 0.053, 0.187, 0.   ]
[-0.49 , 0.043, 0.187, 0.   ]
[-0.51 , 0.036, 0.187, 0.   ]
[-0.532, 0.028, 0.187, 0.   ]
[-0.535, 0.019, 0.187, 0.   ]
[-0.531, 0.009, 0.187, 0.   ]
[-0.544, 0.   , 0.187, 0.   ]
[-0.535,-0.009, 0.187, 0.   ]
[-0.553,-0.019, 0.187, 0.   ]
[-0.569,-0.03 , 0.187, 0.   ]
[-0.586,-0.041, 0.187, 0.   ]
[-0.623,-0.055, 0.187, 0.   ]
[-0.915,-0.096, 0.187, 0.   ]
[-0.899,-0.11 , 0.187, 0.   ]
[-0.906,-0.127, 0.187, 0.   ]
[-0.867,-0.137, 0.187, 0.   ]
[-0.849,-0.15 , 0.187, 0.   ]
[-0.846,-0.164, 0.187, 0.   ]
[-0.853,-0.181, 0.187, 0.   ]
[-0.835,-0.193, 0.187, 0.   ]
[-0.856,-0.213, 0.187, 0.   ]
[-0.837,-0.224, 0.187, 0.   ]
[-0.844,-0.242, 0.187, 0.   ]
[-0.842,-0.258, 0.187, 0.   ]
[-0.842,-0.273, 0.187, 0.   ]
[-0.881,-0.303, 0.187, 0.   ]
[-0.893,-0.325, 0.187, 0.   ]
[-0.914,-0.351, 0.187, 0.   ]
[-0.   ,-0.   , 0.187, 0.   ]
[-1.634,-0.693, 0.187, 0.   ]
[-1.582,-0.704, 0.187, 0.   ]
[-1.548,-0.722, 0.187, 0.   ]
[-1.499,-0.731, 0.187, 0.   ]
[-1.464,-0.746, 0.187, 0.   ]
[-1.459,-0.776, 0.187, 0.   ]
[-1.438,-0.797, 0.187, 0.   ]
[-1.411,-0.815, 0.187, 0.   ]
[-1.401,-0.842, 0.187, 0.   ]
[-1.409,-0.88 , 0.187, 0.   ]
[-1.402,-0.91 , 0.187, 0.   ]
[-1.41 ,-0.951, 0.187, 0.   ]
[-1.401,-0.981, 0.187, 0.   ]
[-1.407,-1.022, 0.187, 0.   ]
[-1.463,-1.102, 0.187, 0.   ]
[-2.26 ,-1.766, 0.187, 0.   ]
[-2.118,-1.715, 0.187, 0.   ]
[-2.011,-1.687, 0.187, 0.   ]
[-1.942,-1.688, 0.187, 0.   ]
[-1.88 ,-1.693, 0.187, 0.   ]
[-1.839,-1.715, 0.187, 0.   ]
[-1.793,-1.731, 0.187, 0.   ]
[-1.757,-1.757, 0.187, 0.   ]
[-1.712,-1.773, 0.187, 0.   ]
[-1.679,-1.8  , 0.187, 0.   ]
[-1.642,-1.823, 0.187, 0.   ]
[-1.61 ,-1.853, 0.187, 0.   ]
[-1.582,-1.885, 0.187, 0.   ]
[-1.567,-1.935, 0.187, 0.   ]
[-1.543,-1.975, 0.187, 0.   ]
[-1.521,-2.018, 0.187, 0.   ]
[-1.5  ,-2.065, 0.187, 0.   ]
[-1.493,-2.132, 0.187, 0.   ]
[-1.491,-2.21 , 0.187, 0.   ]
[-1.518,-2.338, 0.187, 0.   ]
[-0.   ,-0.   , 0.187, 0.   ]
[-0.   ,-0.   , 0.187, 0.   ]
[-0.   ,-0.   , 0.187, 0.   ]
[-0.   ,-0.   , 0.187, 0.   ]
[-0.   ,-0.   , 0.187, 0.   ]
[-1.282,-2.515, 0.187, 0.   ]
[-1.187,-2.435, 0.187, 0.   ]
[-1.123,-2.408, 0.187, 0.   ]
[-1.081,-2.429, 0.187, 0.   ]
[-1.03 ,-2.426, 0.187, 0.   ]
[-0.979,-2.424, 0.187, 0.   ]
